fips	Peak ICU	Peak ICU/ICU beds	Fatalities	Fatalities/population
47089	191.6259238616176	10.400203808111863	2490.0551657980996	0.04569327765479585
47091	18.645454141542928	3.100202701156221	259.5052458347909	0.014588781528827912
47093	650.4414386156759	4.090397023351035	7829.454490884371	0.016647327398741626
47095	26.814592154933536	11.30383633209324	381.15396680370134	0.054326392075784116
47097	35.430838392609985	4.088144489013517	495.9439960186948	0.019347871728580143
47099	56.25937782204903	3.7695296511236944	774.5283652806753	0.017546290727213885
47101	37.80011025061762	9.113045623370938	536.4389300371907	0.04372668161372601
47103	44.747938469098216	3.85113099948899	622.4339628496061	0.018111911856183615
47105	98.6816513890368	5.398092829922071	1270.3684642529856	0.02349575468397177
47107	183.62431606261987	10.095796730351479	2447.806404042784	0.045503335019570657
47109	33.378456186755955	3.842189416863367	472.30981964073584	0.01838210553595142
47111	27.656465515137285	3.3248381399990414	400.87261583259124	0.01629431004928832
47113	358.82959346580765	10.831218915684342	4696.055464927295	0.04792675809241606
47115	35.78945942302286	3.661814681156947	501.10025056176977	0.017334910248789904
47117	41.76152221615558	3.5931707764115752	568.8105237226172	0.016547215235567046
47119	342.37225536158167	10.505684295810632	4507.81930425043	0.04676791791683972
47121	15.173701359406905	3.6128027652160157	210.34318286524982	0.01693311728105376
47123	68.6101359794319	4.359728962678389	945.3867122550165	0.02031124099806674
47125	829.9728409705021	11.745631906167853	10416.144236071113	0.04983967997048281
47127	7.078954628248447	3.2270265079719436	99.53867591945495	0.01534196607883091
47129	26.893993518575485	3.716420865242685	383.0837810206089	0.017898602112816377
47131	96.15276310774357	9.457732560045688	1346.67358108966	0.044786111313633976
47133	27.685786216461594	3.6816864253628614	388.94897848952064	0.01748792673393825
47135	10.775311168492408	3.9461878542852156	161.15504067401878	0.01995480939499985
47137	14.080035700708038	8.249519530338706	204.10742201450148	0.04043332448781725
47139	19.08949885741984	3.354308866356391	272.8833574000499	0.016212176651618934
47141	106.44849478295635	3.9234289170387013	1390.713555917108	0.01733084374001007
47143	111.81412421022628	9.97090827389673	1505.28226239092	0.045384938715920045
47145	64.99373428625688	3.60098153898146	858.1297694309029	0.016075264497975028
47147	84.29509388523235	3.471710269982747	1111.8935235226238	0.015483178860688509
47149	1332.229161350675	11.858027255881462	16456.571576469254	0.049525472339916804
47151	30.704457452004277	4.115121835617149	437.0923028825082	0.019806611513617373
47153	20.98128217761952	4.12983675802314	292.9503580570448	0.0194962304044353
47155	340.5887188210247	10.252787238192202	4470.792360425333	0.045504247943260384
47157	1624.9737694967216	5.128307711392922	19372.074788688118	0.020670910797754207
47159	24.315603836779502	3.5678238842933707	339.0839919888481	0.016822145755263584
47161	40.67334950335524	8.771187035757983	591.3023634947175	0.04311355184066478
47163	210.6490181448321	3.934514064078587	2646.357044619952	0.01671228588059181
